TimeStamp,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19
858,1.4656227,43.5690878,"[88, 113]",1.45186,43.5743351,[],1.4786933,43.564699499999996,[],1.4439283,43.6454497,"[112, 121]",1.3989802,43.5800686,[],1.453076,43.5948257,[],1.4258556999999998,43.6465559,[],1.4877949,43.5836329,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.43984,43.5659921,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4392328,43.6163278,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3754636999999998,43.5637439,[],1.4784698,43.6276473,[116],1.4803768999999998,43.6085813,[117]
859,1.4659379,43.5687321,"[88, 113]",1.4520146999999999,43.573949299999995,[],1.4787511,43.5646869,[],1.4431829,43.647833299999995,"[112, 121]",1.3989418,43.579773200000005,[],1.4523598999999998,43.594844200000004,[],1.4258556999999998,43.6465559,[],1.4859833999999998,43.5846691,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.44350165,43.56332985,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4405302,43.6159763,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3732562,43.5645409,[],1.4793856,43.628152899999996,[116],1.4816401000000001,43.607349600000006,[117]
860,1.4661532,43.5685997,"[88, 113]",1.4516665000000002,43.5737454,[],1.4790253,43.5647607,[],1.4399912,43.6485701,"[112, 121]",1.3988743000000001,43.5796255,[],1.4528441,43.5912844,[],1.4258556999999998,43.6465559,[],1.4862289,43.5849347,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4471633,43.5606676,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4416015,43.6156368,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3736576999999999,43.5651538,[],1.4823565,43.6294648,[116],1.4825137,43.606382399999994,[117]
861,1.4672311000000002,43.5675214,"[88, 113]",1.4496495,43.573881400000005,[],1.4786513000000001,43.5650619,[],1.4389161,43.64870139999999,"[112, 121]",1.3988743000000001,43.5796255,[],1.4529035,43.590886600000005,[],1.4258556999999998,43.6465559,[],1.4899056,43.5843929,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4470021,43.5603175,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4423945,43.6154256,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3761611999999999,43.5676653,[],1.4823919,43.629519099999996,[116],1.4840896000000001,43.6070004,[117]
862,1.4674419,43.5672157,"[88, 113]",1.4448785000000002,43.5744325,[],1.4751564,43.5666723,[],1.4382565,43.651356799999995,"[112, 121]",1.3988743000000001,43.5796255,[],1.453403,43.590662,[],1.4258556999999998,43.6465559,[],1.4878221,43.585865999999996,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.44856505,43.55668789999999,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4441963,43.615373299999995,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.376577,43.5678677,[],1.4820853999999999,43.6321495,[116],1.4842212,43.6070562,[117]
863,1.4675338,43.5670086,"[88, 113]",1.4401075,43.5749836,[],1.4747686000000002,43.5668507,[],1.4380803999999998,43.651468200000004,"[112, 121]",1.3988743000000001,43.5796255,[],1.4535679,43.5905805,[],1.4258556999999998,43.6465559,[],1.4882781999999999,43.5864625,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.450128,43.5530583,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4483795,43.6152716,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3767284,43.5679325,[],1.4822452,43.632105100000004,[116],1.4852372999999999,43.6074311,[117]
864,1.4677353000000002,43.566871,"[88, 113]",1.4377739,43.5732315,[],1.4745579,43.5709107,[],1.4382059,43.6515649,"[112, 121]",1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4888568000000002,43.5867711,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4501167,43.5530141,[119],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4505573,43.6142747,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3775491000000002,43.568293,[],1.4823752000000001,43.6323698,[116],1.4851956,43.607980600000005,[117]
865,1.4680902,43.566655499999996,"[88, 113]",1.43338975,43.571817700000004,[],1.4748629999999998,43.5709937,[],1.4378567,43.6526981,"[112, 121]",1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4840643,43.587653499999995,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4500236,43.5528745,"[119, 123]",1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4509288999999999,43.6141037,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3776774,43.568372,[],1.4860301,43.633255299999995,[116],1.4845688999999997,43.6114491,[117]
866,1.4684442,43.5662744,"[88, 113]",1.4290056,43.5704039,[],1.477134,43.570224700000004,[],1.4375901000000002,43.6534807,"[112, 121]",1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4792718,43.5885359,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4501167,43.5530141,"[119, 123]",1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4526083,43.6118206,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3777576,43.568427,[],1.4862684,43.633332700000004,[116],1.4830093673653977,43.616199663962476,[117]
867,1.4679196,43.5660008,"[88, 113]",1.42554655,43.56974200000001,[],1.48110765,43.56750445,[],1.4373231000000002,43.6536148,"[112, 121]",1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4788101999999999,43.589172999999995,[120],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.450128,43.5530583,"[119, 123]",1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4542877,43.6095375,[111],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.3796728,43.5699005,[],1.4892343000000001,43.6345096,[116],1.4816556836826988,43.62032318198124,[117]
